id,predecessor_organisation_id,successor_organisation_id,link_type,link_date
f1d12eeb-c7b0-4381-92bf-df50de8c491f,cd9a4a3e-15d2-4f51-b999-6eb75e55fef4,88e057e4-f7bc-428a-ac95-d5006b9e7ac0,Name change,2021-09-20
d2120c3e-b2ca-442f-b57c-e0d0f308ae0b,c38bf8a3-b51c-48fe-bb7e-2e687bd1ad06,cd9a4a3e-15d2-4f51-b999-6eb75e55fef4,Name change,2018-01-08
