id,person_id,house,type,constituency_id,start_date,end_date
ba9a417f-27ea-48d5-9f3b-f18d706485f7,7d5d7d35-560f-4a7f-9d63-89dbaac46d75,Lords,Bishops,NULL,2014-12-03,NULL
92508359-df8d-4b44-af4d-eee883c4e22e,9ee235a2-5ea4-4173-a6f5-a71d973d6125,Commons,NULL,61672ed3-dc03-4c75-b9b1-aa2915d2b59c,2010-05-06,2015-05-07
2b8a7b51-deec-4b28-9b05-866bec30682e,9ee235a2-5ea4-4173-a6f5-a71d973d6125,Commons,NULL,61672ed3-dc03-4c75-b9b1-aa2915d2b59c,2015-05-07,2017-06-08
14a3c9e7-16d3-4103-8c99-83bf0b4c79d7,9ee235a2-5ea4-4173-a6f5-a71d973d6125,Commons,NULL,61672ed3-dc03-4c75-b9b1-aa2915d2b59c,2017-06-08,2019-12-12
9aa363ae-991a-443c-8578-604182916587,50bbc34b-92f5-4390-bcaf-83b06f071115,Commons,NULL,7c40f321-b159-4059-8202-e3ed40c61869,1992-04-09,1997-05-01
bb2c5a90-3e96-4a29-92ab-1c672b31ea23,a2edb53e-2e8e-4e61-862a-cfcbd1ca861a,Lords,Bishops,NULL,1985-05-31,1990-10-01
4ac4fb26-f187-4c9a-8ccc-a514f277e022,9c28b598-7b0f-419e-b1d6-b240fd68a66c,Lords,Bishops,NULL,2003-09-10,2015-08-31
84da1d9f-1b7f-4387-a8cf-dd2c4de6069e,9df536db-f970-4894-946a-e59070b364e5,Lords,Bishops,NULL,2022-10-06,NULL
34928a79-4273-4d3d-b1eb-855ee85516e6,b0c2cc63-8424-4d35-acac-015d8ed591d9,Lords,Hereditary,NULL,1994-06-19,1999-11-11
ec4ddd92-e506-47b6-94aa-5dc7837c72da,12406f18-1bd2-48e2-ac18-d19ff22462d3,Lords,Hereditary,NULL,1976-09-03,1994-06-19
8c59dc3a-f1be-44f2-80e4-890fda6f0640,0dd25564-b9af-4be0-8beb-f895c4a63bb0,Lords,Excepted hereditary,NULL,2021-06-23,NULL
05ada10b-b1ab-4c59-a74d-c0ec8f9611b8,735e60a3-33aa-4ec2-ae91-ffc9b4461cc8,Commons,NULL,0c2f16c8-0043-4581-b50d-2549a694ae3e,1983-06-09,1987-06-11
78770686-7ab6-42de-b33e-67bb8f38c1c8,735e60a3-33aa-4ec2-ae91-ffc9b4461cc8,Commons,NULL,0c2f16c8-0043-4581-b50d-2549a694ae3e,1987-06-11,1992-04-09
9fd53c30-eb45-4aaf-b5b1-95c8226d6393,735e60a3-33aa-4ec2-ae91-ffc9b4461cc8,Commons,NULL,0c2f16c8-0043-4581-b50d-2549a694ae3e,1992-04-09,1997-05-01
39b97990-7a5a-4653-8574-a1f4cc0b5903,735e60a3-33aa-4ec2-ae91-ffc9b4461cc8,Commons,NULL,260c653d-55bb-4225-9e23-ffeb0fda072e,1997-05-01,2001-06-07
efdf039c-7198-4359-a616-b7205f733c52,735e60a3-33aa-4ec2-ae91-ffc9b4461cc8,Commons,NULL,260c653d-55bb-4225-9e23-ffeb0fda072e,2001-06-07,2005-05-05
73b045da-a55f-4909-bfb9-d0be6661ae44,735e60a3-33aa-4ec2-ae91-ffc9b4461cc8,Commons,NULL,260c653d-55bb-4225-9e23-ffeb0fda072e,2005-05-05,2010-05-06
413b6100-c0af-41d5-8f33-7e548866fff6,735e60a3-33aa-4ec2-ae91-ffc9b4461cc8,Commons,NULL,963d1c86-911e-45cb-9de6-085894d1d7a0,2010-05-06,2015-05-07
08fe3934-ec42-4e7f-b374-cb689468aa7d,735e60a3-33aa-4ec2-ae91-ffc9b4461cc8,Commons,NULL,963d1c86-911e-45cb-9de6-085894d1d7a0,2015-05-07,2017-06-08
01f6c96e-e5d6-4147-a907-76277edc2802,735e60a3-33aa-4ec2-ae91-ffc9b4461cc8,Commons,NULL,963d1c86-911e-45cb-9de6-085894d1d7a0,2017-06-08,2019-12-12
57fba44d-5127-491c-9268-15b7beb355ec,735e60a3-33aa-4ec2-ae91-ffc9b4461cc8,Commons,NULL,963d1c86-911e-45cb-9de6-085894d1d7a0,2019-12-12,NULL
250d2be9-6537-4ee2-b9cb-da5fa99f1c75,37dfdd2e-d5be-4c5b-8244-5aaf54ffc3c2,Lords,Hereditary,NULL,NULL,NULL
cc94f0ae-a843-460a-8aaf-fa15c36a6d48,b336c798-5ab4-4621-b54b-bb6f7f676db4,Lords,Life peer,NULL,2013-09-16,NULL
cc7b10ae-adf6-4283-8c53-d494c961d4f9,c2d8342a-0c05-429d-9937-9270ce8ba9b2,Commons,NULL,38024c29-5226-4259-a330-6020cc0373e4,1979-05-03,1983-06-09
ad3218d3-874b-48a1-98c1-dd088f3d12d1,c2d8342a-0c05-429d-9937-9270ce8ba9b2,Commons,NULL,90eb3b33-58f1-4d1a-a770-af118dea6df7,1983-06-09,1987-06-11
8f61b77b-b988-4ba9-9dd3-5c3ccaa2dfb8,c2d8342a-0c05-429d-9937-9270ce8ba9b2,Commons,NULL,90eb3b33-58f1-4d1a-a770-af118dea6df7,1987-06-11,1992-04-09
5085180a-e96d-4aa8-b319-2e0217934cf6,c2d8342a-0c05-429d-9937-9270ce8ba9b2,Commons,NULL,90eb3b33-58f1-4d1a-a770-af118dea6df7,1992-04-09,1994-02-28
26310655-39cf-4f21-90e1-9bb8273035ab,78a358c1-46de-4dce-bd8b-dba712c5b522,Lords,Hereditary,NULL,1998-04-28,1999-11-11
2df8d339-e319-4098-b685-972c43d871ff,722c2d46-02b5-48a3-8a23-7553f03aa43c,Lords,Hereditary,NULL,1963-10-17,1998-04-28
c9807df0-a3b7-4f2d-a4e2-8309f54894de,6d10fbc9-42a2-4fd0-a45e-35565a6c35e5,Lords,Hereditary,NULL,NULL,NULL
1bb7f361-54c0-4d62-8200-bc48aa5161d5,012871c3-d979-4ce9-8355-d81aac1c0d4d,Lords,Life peer,NULL,2004-06-07,NULL
3f3db51e-d101-420b-b5d8-28c3ba701a1a,f0c9011f-b5eb-4fb4-bd6d-f9fddf6411a5,Lords,Life peer,NULL,2014-09-22,NULL
10accc01-bfa4-4414-aa81-7f6c748cccb2,944dc2ee-ee29-45e1-94d7-90bdda80f5fa,Commons,NULL,b434b7bf-d689-4c7a-ba43-edc9aebf4c46,1979-05-03,1983-06-09
01947f90-cd1f-4cde-81d6-06501e528b02,944dc2ee-ee29-45e1-94d7-90bdda80f5fa,Commons,NULL,ddde8d87-4b2f-4c9c-8e6c-dbd95178d556,1983-06-09,1987-06-11
37ff5c27-9438-4238-ba5e-f8f4c1fa9dff,944dc2ee-ee29-45e1-94d7-90bdda80f5fa,Commons,NULL,ddde8d87-4b2f-4c9c-8e6c-dbd95178d556,1987-06-11,1992-04-09
