id,representation_id,party,start_date,end_date
7a07ddf7-2971-46cd-9966-fb50c8c7f7a3,4a4c16a9-c98e-4e29-a002-7f143834ceb9,Conservative,2010-05-06,2015-05-07
ae7460a2-3f80-43f6-919e-c412e145bae6,7cfeae74-142f-4216-b1aa-d235581f70bd,Conservative,2015-05-07,2017-06-08
ce7c8914-2a11-4331-8384-f04476847114,e8cfeef1-9051-41fc-9a6e-2641edbe8fc8,Conservative,2017-06-08,2019-12-12
4c60b7d1-7b02-4f5a-83f7-2d072dab7e9f,e20fa5ba-c213-470f-9883-0f5bfcc8d685,Conservative,2019-12-12,2023-06-12
c39179ea-279f-4e62-8b8f-922bdc2b3fdd,7e7ca6bd-a99f-4ecd-8d7e-c846b5da0b2d,Labour,1990-11-29,1992-04-09
dd421ed2-2d5f-48e7-ad0c-8a1ea3f78ea9,e89158a4-3769-42f1-9e18-737d0475c97b,Labour,1992-04-09,1997-05-01
4e38192b-29d4-406c-9b8b-5493425d5aff,4863d73c-b96c-4635-826c-cadcbd094c18,Labour,1997-05-01,2001-06-07
12b4361f-a74b-4bff-b6f9-8b6a68c154d8,2e2e18ea-5008-4b73-a352-4bd5297be26f,Labour,2001-06-07,2005-05-05
7938d929-5f5c-4ab4-90f2-cac500c65048,df36c7fd-6f48-4e89-b33e-2f73f38d9083,Labour,2005-06-28,NULL
a965f0ef-6269-4942-8b96-603b8ac96a45,acbb3a34-c1a3-4421-8c74-2f3d45f8b9ba,Liberal Democrat,1986-06-17,NULL
2583e7f5-8bc7-4c2a-be7c-ff5aeb6ca5a1,8a2c4f37-8640-423b-bc80-081954f81260,Conservative,1992-11-17,1999-11-11
434a68b0-cff3-4d21-b1f0-4827a1c5012c,6ea6ad5b-6dc8-4d17-825f-fd85b7830659,Crossbench,2001-06-30,NULL
6c083741-c753-4d87-848f-cb666f89d94b,b031d537-edce-4c6d-8974-1717981f9a3b,Conservative,1970-06-18,1974-02-28
1603c635-02d6-41b2-b7e8-c74c421767e4,49538c99-0945-4273-8c4e-361f731bdb4c,Conservative,1974-02-28,1974-10-10
8e9a4a3c-5d40-4f13-9c1d-3a13b9e2e395,0eb55ebb-999b-477d-a8a5-d706ef7e55bd,Conservative,1974-10-10,1979-05-03
d9a49a8f-f326-4c72-b781-f9c164f9ef8f,8a81a286-6669-4cf6-8ca9-ce9bc2782caf,Conservative,1979-05-03,1983-06-09
4785fdd1-c882-4a0f-8466-5a7a3a8d04f1,6391c67a-d4b2-4311-bcb5-5f641247a4f1,Conservative,1983-06-09,1987-06-11
94a3bf11-e8ab-4029-8215-dba4834aff29,5099fc52-7ebe-43eb-bf96-d84bad03b48a,Conservative,1987-06-11,1992-04-09
e02b2e59-8467-465b-a98a-2468e3244475,61d18de4-984a-47ad-8965-f0f09621f6c2,Conservative,1992-04-09,1997-05-01
a7fb3896-3db1-42e9-8e36-6275e1844d99,04352935-5b09-4695-a2c5-744e621d11b5,Labour,2017-06-21,NULL
75e3df14-d567-48db-aa7a-03a496408dbf,04352935-5b09-4695-a2c5-744e621d11b5,Labour,2005-05-16,2015-10-04
87ca0949-cae5-4987-a692-0fcfde502c9e,04352935-5b09-4695-a2c5-744e621d11b5,Non-affiliated,2015-10-05,2017-06-20
c75e021f-4d28-4499-a50c-737770bff30a,e69a5951-95bb-462a-bbb4-31aa6bef839f,Crossbench,1977-11-17,1995-04-04
b641e9a7-5baf-4064-a74f-f8833094bebf,d79c8aed-6737-497b-92f7-2ffec1b5f30a,Conservative,2017-06-08,2019-12-12
621b6c07-7a33-4aed-b956-6a05398789ff,495ad0c3-a416-49b3-8396-f263e6d0037c,Conservative,2019-12-12,NULL
4e6e5436-0f35-4718-a1a2-ecb2e74e294b,eb916503-6917-4ed7-99ca-5d82177096dc,Conservative,2005-05-05,2010-05-06
f5f9c94c-018d-4918-a42f-cf5555c2e20f,183420b3-6907-4b4b-808e-202752e43481,Conservative,2010-05-06,2015-05-07
46d748fe-8fd1-41e4-9909-ab0eb5c94d62,0ce898e3-8bfe-4938-aec1-41b8482ddc06,Conservative,2015-05-07,2017-06-08
55053a14-2fcc-45ef-b968-5a79618a8a3e,74bb80db-588c-4349-beb6-e98f98f4b8a0,Conservative,2017-06-08,2019-12-12
0727d852-a79b-4430-8e8f-7b2a9003f602,c5c6a270-a2c9-4b2e-b64f-2b110e1a9df3,Conservative,2019-12-12,NULL
b91ad4eb-c8ed-4c81-ae72-1dd965df4857,16a08e42-183a-4c87-89c9-f21abe88acde,Crossbench,2007-12-11,2022-05-12
47ce6eae-2995-4201-8507-480a3935bd46,e244915b-3cb0-4df3-a9e4-19f94bc876f3,Conservative,2017-10-19,NULL
afd7f024-e9a0-4d17-a445-8c33e414b285,93893ac5-4395-4cb3-9ee6-239c8644bc70,Independent,2021-06-18,2022-05-03
9a43f06e-9921-4717-a3b4-cd18908e1235,93893ac5-4395-4cb3-9ee6-239c8644bc70,Conservative,2019-12-12,2021-06-18
45a57ba3-1145-477c-ba8f-66f5649e3aa6,1d53b03a-d65c-4a64-a587-34f75e2bf2f8,Conservative,2011-01-13,NULL
bdcde821-d3f3-4e6e-a76a-e743286b6391,e5161b4e-e289-49d8-9c25-b50034af3014,Non-affiliated,2013-05-14,2020-11-14
13d6dccc-bf71-44eb-b9b0-80484153135b,e5161b4e-e289-49d8-9c25-b50034af3014,Labour,1998-08-03,2012-04-15
ddff8be8-606d-48e5-a3f8-35398d07830a,e5161b4e-e289-49d8-9c25-b50034af3014,Non-affiliated,2012-04-16,2012-06-25
e4ed0541-e455-49f5-bd8d-1bf755920fb7,e5161b4e-e289-49d8-9c25-b50034af3014,Labour,2012-06-26,2013-05-13
8f812799-9b9e-4388-b583-7a2a661946cc,9c17cb22-d78d-4793-8606-e9ff5470d5a3,Scottish National Party,2015-05-07,2017-06-08
08e10bbc-7d09-4841-ad9a-68eb369b66b2,9c199746-d3fb-46ad-9116-e21f9db8c10d,Conservative,2019-12-12,NULL
679aaade-d490-4997-bd4d-4815e702b370,5effac29-3d7a-4ce3-95bd-d6564e7b2f2f,Crossbench,1975-06-19,1999-11-11
935eaf0a-c742-4dda-b774-086f063b674a,89bfcf54-1012-4dfd-8459-2bbf2dd129bc,Conservative,1994-06-16,1999-11-11
688e0b05-65b9-4287-8afd-951ff6efb6a6,346d65d9-ee49-4e6a-894d-2ffe775c97e6,Conservative,1976-06-09,1988-09-27
778fb340-c0f9-4704-a354-2c57daf51599,3ea6d784-1eec-4d62-983e-1700a2c33322,Labour,1992-04-09,1997-05-01
87829081-a4cc-44dc-9576-40c92aaed8bf,31d0ee41-866f-4ebe-b0e0-6d0df43581ee,Labour,1997-05-01,2001-06-07
8feba66b-5a17-4172-9f34-137d3b31aa5e,8e043f49-0777-4fe9-8e44-998b0c222b6b,Labour,2001-06-07,2005-05-05
