id,id_parliament,id_ifg_website,name,display_name,normalized_name,short_name,gender,start_date,end_date
a14fa79e-520c-48e8-b3f7-087f1b6c2f8c,3278.0,,Baroness Rawlings,Baroness Rawlings,Baroness Rawlings,Rawlings,F,,
4e44d1ed-2273-4e38-96dd-08861b78716e,2665.0,,Lord Haskel,Lord Haskel,Lord Haskel,Haskel,M,,
3d825859-9313-4dc5-a488-08cf2b8f9915,4607.0,,Stephanie Peacock,Stephanie Peacock,Stephanie Peacock,Peacock,F,,
226df242-65de-4f29-9e9f-08f2cf9ad884,4395.0,,Sue Hayman,Sue Hayman,Sue Hayman,Hayman,F,,2020-09-09
bd7c9702-f5c3-4fe6-b6ea-08fca700d186,78.0,,Jonathan Shaw,Jonathan Shaw,Jonathan Shaw,Shaw,M,,
72e1bc81-da5d-4f2b-992e-09658c8445ca,1754.0,,Lord Young of Graffham,Lord Young of Graffham,Lord Young of Graffham,Young,M,1984-09-10,
a8121307-35c2-43b5-af3c-096dd476ff5f,1200.0,,Greg Knight,Greg Knight,Greg Knight,Knight,M,,
9e306d67-2a87-4b23-9885-097854feacc1,2696.0,,Lord Denham,Lord Denham,Lord Denham,Denham,M,,
7e611493-9964-47fa-8d43-09e070608991,4986.0,,Lord Gascoigne,Lord Gascoigne,Lord Gascoigne,Gascoigne,M,,
4be7b58b-332c-41b9-9bfb-09eb9d5fe7c6,284.0,,Charlotte Atkins,Charlotte Atkins,Charlotte Atkins,Atkins,F,,
c50e0a09-5e47-43cb-86dd-0a3d356ce281,1533.0,,Diana Johnson,Diana Johnson,Diana Johnson,Johnson,F,,
b6a65520-7d6c-4f61-a25b-0a633e22be3d,3918.0,,Jane Ellison,Jane Ellison,Jane Ellison,Ellison,F,,
6bc22a00-0214-4aa1-8881-0a9799441269,2546.0,,Lord Shutt of Greetland,Lord Shutt of Greetland,Lord Shutt of Greetland,Shutt,M,,
ad5f8056-52f7-4cb0-a760-0a9b5f6e56d2,4928.0,,Lord Harlech,Lord Harlech,Lord Harlech,Harlech,M,,
e3485c76-ef4e-4428-91df-0abe4144b32d,1562.0,,Robert Goodwill,Robert Goodwill,Robert Goodwill,Goodwill,M,,
c74af476-193b-445d-8c2e-0adc6daa201c,191.0,,Bridget Prentice,Bridget Prentice,Bridget Prentice,Prentice,F,,
32368dcb-d100-4b44-95ee-0b01e733e354,329.0,,Liz Blackman,Liz Blackman,Liz Blackman,Blackman,F,,
b494bd4a-327a-4f31-8eff-0b56c1fb5946,26.0,,Michael Jabez Foster,Michael Jabez Foster,Michael Jabez Foster,Foster,M,,
c138b827-430b-4abb-aa44-0b9db2d4fc17,760.0,,Gyles Brandreth,Gyles Brandreth,Gyles Brandreth,Brandreth,M,,
08e08c02-170a-451a-836c-0ba44128ea1f,4600.0,,Leo Docherty,Leo Docherty,Leo Docherty,Docherty,M,,
4960ecb7-d315-4486-b866-0bb7765c4f05,3972.0,,Baroness Chapman of Darlington,Baroness Chapman of Darlington,Baroness Chapman of Darlington,Chapman,F,2021-02-01,
f9c60977-9aef-46d6-b3e4-0be48d8e7e81,1487.0,,Tobias Ellwood,Tobias Ellwood,Tobias Ellwood,Ellwood,M,,
00aa6e21-fe30-45cf-8a9c-0c08f971b0d4,4601.0,,Andrew Bowie,Andrew Bowie,Andrew Bowie,Bowie,M,,
2b817a0c-39d7-4f93-ae30-0c1c5895559a,4009.0,,Brandon Lewis,Brandon Lewis,Brandon Lewis,Lewis,M,,
eaa78242-b15c-4595-b078-0c2423fd8b7d,814.0,,Tim Eggar,Tim Eggar,Tim Eggar,Eggar,M,,
9bea7283-b328-4cf8-9976-0c55f5520887,872.0,,Geoffrey Howe,Geoffrey Howe,Geoffrey Howe,Howe,M,,1992-06-06
9bea7283-b328-4cf8-9976-0c55f5520887,872.0,,Lord Howe of Aberavon,Lord Howe of Aberavon,Lord Howe of Aberavon,Howe,M,1992-06-30,
2c1b34e4-e52d-41bd-9562-0cc5b555baeb,4826.0,,Laura Farris,Laura Farris,Laura Farris,Farris,F,,
28f4ff77-6803-4b90-82bd-0ce569903243,4952.0,,Earl of Minto,Earl of Minto,Earl of Minto,Minto,M,,
8cc25296-9283-4675-a885-0d3e5e20d492,4027.0,,Baroness Morgan of Cotes,Baroness Morgan of Cotes,Baroness Morgan of Cotes,Morgan,F,2020-01-06,
8cc25296-9283-4675-a885-0d3e5e20d492,4027.0,,Nicky Morgan,Nicky Morgan,Nicky Morgan,Morgan,F,,2020-01-06
54328044-2dd3-4caa-9cae-0d74160aad73,236.0,,Angela Browning,Angela Browning,Angela Browning,Browning,F,,2010-07-09
54328044-2dd3-4caa-9cae-0d74160aad73,236.0,,Baroness Browning,Baroness Browning,Baroness Browning,Browning,F,2010-07-09,
91d894f7-8084-4b72-970d-0d9dea606635,5365.0,,Lord Hermer,Lord Hermer,Lord Hermer,Hermer,M,2024-07-05,
e88b2289-ea97-40af-9bcb-0e28f3641c1f,496.0,,Jack Cunningham,Jack Cunningham,Jack Cunningham,Cunningham,M,,2005-06-27
e88b2289-ea97-40af-9bcb-0e28f3641c1f,496.0,,Lord Cunningham of Felling,Lord Cunningham of Felling,Lord Cunningham of Felling,Cunningham,M,2005-06-27,
d168f4cb-5659-45d9-9334-0e669f4221cc,3839.0,,Baroness Warsi,Baroness Warsi,Baroness Warsi,Warsi,F,,
8b602494-6bb4-45ca-bbeb-0ea62a7669be,1424.0,,Mark Prisk,Mark Prisk,Mark Prisk,Prisk,M,,
